1.0719,1.873
1.5066,2.355
1.894,2.8999
2.3382,3.4682
2.8337,4.0236
3.3355,4.5321
3.7956,5.0109
4.3131,5.4406
4.7891,5.8912
5.3987,6.4097
5.9697,6.9394
6.5729,7.4576
7.0775,7.9457
7.5998,8.4891
8.1916,8.9906
8.6269,9.5071
9.1577,10.015
9.5942,10.506
10.126,11.028
10.572,11.548
11.134,12.128
11.565,12.635
11.993,13.113
12.525,13.592
13.085,14.136
13.52,14.631
13.959,15.119
14.436,15.583
14.908,16.129
15.419,16.691
15.842,17.214
16.267,17.757
16.802,18.339
17.321,18.88
17.774,19.432
18.206,19.934
18.783,20.48
19.261,21.033
19.681,21.534
20.163,22.075
20.678,22.66
21.167,23.265
21.604,23.808
22.056,24.312
22.61,24.913
23.06,25.433
23.475,25.986
23.942,26.461
24.379,26.95
24.814,27.467
25.231,27.944
25.672,28.462
26.096,28.973
26.487,29.456
26.891,29.951
27.378,30.499
28.131,31.408
28.588,31.881
29.142,32.433
29.628,32.97
30.241,33.515
30.847,34.034
31.418,34.572
32.025,35.086
32.607,35.596
33.199,36.134
33.832,36.704
34.485,37.26
35.218,37.815
35.772,38.272
36.372,38.821
36.947,39.334
37.642,39.919
38.274,40.45
38.879,40.992
39.41,41.46
40.073,41.985
40.747,42.553
41.431,43.107
41.957,43.616
42.508,44.223
43.102,44.812
43.759,45.36
44.364,45.906
45.036,46.46
45.666,47.011
46.246,47.561
46.915,48.037
47.465,48.597
48.032,49.127
48.554,49.613
49.129,50.151
49.81,50.683
50.419,51.235
51.147,51.904
51.639,52.38
52.16,52.924
52.679,53.503
53.112,53.982
53.648,54.572
54.143,55.177
54.652,55.784
55.158,56.375
55.648,57.017
56.228,57.629
56.667,58.193
57.234,58.781
57.731,59.316
58.169,59.829
58.647,60.376
59.164,60.958
59.591,61.508
60.097,62.059
60.548,62.602
61.075,63.202
61.55,63.765
62.009,64.301
62.498,64.823
62.969,65.3
63.423,65.858
63.902,66.399
64.371,66.897
64.847,67.417
65.31,67.927
65.74,68.425
66.167,68.923
66.487,69.321
66.855,69.774
67.17,70.168
67.558,70.633
67.862,71.043
68.221,71.378
68.493,71.713
68.87,72.136
69.199,72.485
69.525,72.793
69.862,73.15
70.189,73.462
70.513,73.789
70.78,74.107
71.057,74.393
71.428,74.788
71.787,75.172
72.132,75.523
72.427,75.821
72.749,76.129
