id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
1,A1,1.250329,33.262310,0.994306,0.098000,0.900000,135.000000,4.000000,0.139940,0.000000
2,A2,1.445096,28.779283,0.997395,0.097000,0.900000,120.000000,4.000000,0.130940,0.000000
3,A3,1.379653,30.144415,0.998669,0.098000,0.900000,120.000000,4.000000,0.112940,0.000000
4,A4,1.404002,29.621638,0.998219,0.100000,0.900000,120.000000,4.000000,0.120940,0.000000
5,A5,1.367301,30.416739,0.997331,0.099000,0.900000,120.000000,4.000000,0.133940,0.000000
6,A6,1.349961,30.807431,0.996212,0.100000,0.900000,120.000000,4.000000,0.137940,0.000000
7,A7,1.391442,29.889017,0.998124,0.099000,0.900000,120.000000,4.000000,0.132940,0.000000
8,A8,1.383761,30.054924,0.998859,0.099000,0.900000,120.000000,4.000000,0.126940,0.000000
9,A9,1.364268,30.484352,0.998773,0.098000,0.900000,120.000000,4.000000,0.113940,0.000000
10,A10,1.402319,29.657176,0.999016,0.099000,0.900000,120.000000,4.000000,0.110940,0.000000
11,A11,1.290639,32.223437,0.993155,0.100000,0.900000,120.000000,4.000000,0.145940,0.000000
12,A12,1.415677,29.377343,0.997477,0.101000,0.900000,105.000000,4.000000,0.113940,0.000000
13,B1,1.371138,30.331608,0.998447,0.100000,0.900000,120.000000,4.000000,0.124940,0.000000
14,B2,1.354871,30.695793,0.999908,0.100000,0.900000,105.000000,4.000000,0.112940,0.000000
15,B3,1.463157,28.424041,0.999071,0.101000,0.900000,105.000000,4.000000,0.110940,0.000000
16,B4,1.312383,31.689541,0.994488,0.101000,0.900000,120.000000,4.000000,0.144940,0.000000
17,B5,1.443110,28.818898,0.999481,0.101000,0.900000,105.000000,4.000000,0.106940,0.000000
18,B6,1.439352,28.894141,0.999754,0.101000,0.900000,105.000000,4.000000,0.105940,0.000000
19,B7,1.325625,31.372988,0.996721,0.103000,0.900000,120.000000,4.000000,0.137940,0.000000
20,B8,1.312503,31.686655,0.994613,0.101000,0.900000,120.000000,4.000000,0.142940,0.000000
21,B9,1.556133,26.725753,0.998765,0.097000,0.900000,120.000000,4.000000,0.116940,0.000000
